Product ID,Product Name,Category,Unit Cost,Weight (in kg),Automotive Grade,Active Status,Created Date,Last Updated Date
LIG-DAS-001,Dashboard Illumination Light,LIGHTING,244.87,2.01,N,Y,2024-02-21,2024-09-02
BRA-WHE-002,Wheel Cylinder,BRAKE_COMPONENTS,1172.89,2.21,Y,Y,2024-03-09,2024-10-05
PAC-PAC-003,Packing Tape,PACKAGING_MATERIALS,1823.25,2.42,Y,Y,2023-03-04,2024-04-19
PLA-SPO-004,Spoiler Housing,PLASTIC_MOULDINGS,483.62,1.4,N,Y,2023-09-12,2024-03-26
PLA-MUD-005,Mudguard,PLASTIC_MOULDINGS,1161.94,2.64,Y,Y,2023-07-07,2024-04-17
RAW-MIL-006,Mild Steel Bar,RAW_MATERIALS,2154.76,1.7,Y,Y,2024-03-29,2025-05-16
CAB-STA-007,Starter Cable,CABLES,2316.65,2.56,Y,Y,2023-01-16,2023-04-21
PAC-BUB-008,Bubble Wrap,PACKAGING_MATERIALS,1208.58,2.61,Y,Y,2024-02-21,2025-07-02
PAC-CAB-009,Cable Tie,PACKAGING_MATERIALS,15.37,1.23,N,Y,2023-06-18,2024-07-10
PLA-SWI-010,Switch Bezel,PLASTIC_MOULDINGS,1744.51,2.22,N,Y,2023-10-20,2024-12-26
CAB-SPE-011,Speedometer Cable,CABLES,748.8,2.91,Y,Y,2023-06-08,2023-12-19
ELE-SEN-012,Sensor Module,ELECTRONICS,134.85,1.48,Y,Y,2023-11-18,2024-01-15
CAB-WIN-013,Window Regulator Cable,CABLES,209.48,0.64,Y,Y,2023-02-28,2024-08-01
BRA-ABS-014,ABS Ring,BRAKE_COMPONENTS,308.52,2.68,Y,Y,2023-08-29,2024-10-15
TOO-GRI-015,Grinder Machine,TOOLS & FIXTURES,214.14,2.01,N,Y,2023-02-10,2024-11-05
BRA-BRA-016,Brake Lever,BRAKE_COMPONENTS,1677.62,1.01,N,Y,2023-09-25,2024-04-21
PLA-PIL-017,Pillar Trim,PLASTIC_MOULDINGS,1682.51,0.97,N,Y,2024-02-10,2024-06-23
CAB-STE-018,Steering Column Cable,CABLES,1151.13,3.0,Y,Y,2023-03-16,2023-03-25
