Transaction ID,Product ID,Location ID,Transaction Type,Quantity,Unit Cost,Transaction Date,Reference Number,Created By User
TXN-00001,RAW-BRA-183,NAG-003,TRANSFER,-333,1058.19,3/28/2025,PO-0026,Lea Zimmermann
TXN-00002,RAW-RUB-160,NAG-003,ISSUE,-361,918.5,4/30/2025,PO-0087,Grace O'Connor
TXN-00003,BRA-DIS-182,OSA-002,RECEIPT,267,816.19,6/19/2025,PO-0089,Vinay Kumar
TXN-00004,RAW-POL-083,NAG-003,RECEIPT,399,448.58,5/2/2025,PO-0072,Nikhil Rao
TXN-00005,BRA-BRA-150,TOK-001,TRANSFER,-373,366.36,5/18/2025,PO-0087,Victor Hugo
TXN-00006,RAW-COP-216,FRA-003,ISSUE,-459,203.88,5/20/2025,PO-0002,Clara Weber
TXN-00007,LIG-INS-028,BAN-001,ISSUE,-84,929.35,2/14/2025,PO-0086,Zanele Dlamini
TXN-00008,PLA-DOO-052,CHI-002,RECEIPT,156,1041.96,7/25/2025,PO-0033,Nora Lindberg
TXN-00009,ELE-RAI-215,BAN-001,TRANSFER,-411,2155.79,4/17/2025,PO-0027,Alicia Thomas
TXN-00010,MEC-BRA-139,BAN-001,ISSUE,-426,258.28,5/27/2025,PO-0014,Marie Dubois
TXN-00011,QUA-HEI-173,NAG-003,TRANSFER,-452,1728.8,3/30/2025,PO-0096,Linda Taylor
TXN-00012,RAW-FOA-144,BER-001,RECEIPT,271,1714.15,7/29/2025,PO-0037,Zara Khalid
TXN-00013,PAC-GUM-171,BAN-001,ISSUE,-208,933.82,5/18/2025,PO-0088,Omar Farouk
TXN-00014,ELE-ABS-142,BAN-001,RECEIPT,390,2132.33,4/6/2025,PO-0026,Dmitri Fedorov
TXN-00015,QUA-TEM-200,RIO-002,ISSUE,-434,1908.89,3/30/2025,PO-0082,Yasmine El-Gamal
TXN-00016,BRA-DIS-182,OSA-002,ISSUE,-396,816.19,7/1/2025,PO-0070,Neha Kapoor
TXN-00017,PLA-SPE-155,NEW-001,TRANSFER,-109,2481.8,4/17/2025,PO-0058,Mia Johansson
TXN-00018,ELE-CON-175,DEL-002,RECEIPT,98,696.94,6/12/2025,PO-0016,Khaled Hamdan
TXN-00019,CAB-SPE-011,BER-001,ISSUE,-294,748.8,4/9/2025,PO-0017,Elena Rossi
TXN-00020,BRA-BRA-150,RIO-002,ISSUE,-12,366.36,4/26/2025,PO-0060,Yasmine El-Gamal
TXN-00021,PAC-WIR-040,BAN-001,RECEIPT,485,2460.75,4/24/2025,PO-0077,Takeshi Yamamoto
TXN-00022,BRA-BRA-199,BRA-003,TRANSFER,-325,1210.65,7/20/2025,PO-0039,Zoey Martin
TXN-00023,PAC-COR-203,TOK-001,TRANSFER,-193,461.7,2/19/2025,PO-0091,Omar Farouk
TXN-00024,PAC-PAP-135,NEW-001,RECEIPT,276,2332.8,2/18/2025,PO-0065,Elena Rossi
TXN-00025,MEC-WAS-107,FRA-003,TRANSFER,-216,535.45,2/24/2025,PO-0045,Julia Novak
TXN-00026,CAB-ACC-055,OSA-002,ISSUE,-179,630.5,5/4/2025,PO-0038,Samuel Wright
TXN-00027,CAB-GRO-193,TOK-001,TRANSFER,-253,1826.74,6/24/2025,PO-0097,Santiago Herrera
TXN-00028,PAC-PAC-003,DEL-002,TRANSFER,-187,1823.25,5/26/2025,PO-0031,Linda Taylor
TXN-00029,MEC-FAS-158,BRA-003,TRANSFER,-134,1595.18,2/11/2025,PO-0088,Amelia Clarke
TXN-00030,PLA-WHE-098,BRA-003,RECEIPT,207,1340,4/7/2025,PO-0070,Akira Kobayashi
TXN-00031,TOO-TES-073,BAN-001,TRANSFER,-430,1628.86,5/7/2025,PO-0066,Natalie Becker
TXN-00032,PLA-FEN-131,MUN-002,ISSUE,-32,1382.65,4/17/2025,PO-0084,Ines Costa
TXN-00033,RAW-POL-083,FRA-003,RECEIPT,495,448.58,2/25/2025,PO-0022,Jason Zhao
TXN-00034,PLA-LIG-138,FRA-003,RECEIPT,330,324.35,2/17/2025,PO-0027,Martin Svensson
TXN-00035,ELE-KNO-162,SAO-001,RECEIPT,452,2284.58,7/26/2025,PO-0055,Lucas Schmidt
TXN-00036,RAW-ALU-053,FRA-003,TRANSFER,-459,1005.14,5/23/2025,PO-0083,Emma Dubois
TXN-00037,PAC-STR-192,OSA-002,RECEIPT,22,2221.35,5/29/2025,PO-0092,Ivan Petrov
TXN-00038,PLA-SWI-010,DEL-002,RECEIPT,37,1744.51,3/18/2025,PO-0033,Ali Reza
TXN-00039,PLA-BUM-019,TOK-001,RECEIPT,476,540.75,4/8/2025,PO-0053,Mason Hill
TXN-00040,QUA-GO/-116,OSA-002,ISSUE,-231,812.58,4/22/2025,PO-0003,Mason Hill
TXN-00041,QUA-HEI-173,DEL-002,TRANSFER,-13,1728.8,7/15/2025,PO-0093,Dmitri Fedorov
TXN-00042,PLA-PIL-017,SAO-001,TRANSFER,-309,1682.51,2/12/2025,PO-0090,Emma Dubois
TXN-00043,TOO-TOR-092,BRA-003,TRANSFER,-64,1663.26,4/16/2025,PO-0088,Igor Popov
TXN-00044,RAW-NYL-156,DEL-002,ISSUE,-401,1419.16,5/24/2025,PO-0049,Laura Rossi
TXN-00045,TOO-SPA-211,OSA-002,RECEIPT,252,777.96,3/13/2025,PO-0069,Julia Novak
TXN-00046,QUA-IMP-035,NAG-003,ISSUE,-417,2053.14,6/20/2025,PO-0038,Vinay Kumar
TXN-00047,BRA-BRA-037,CHI-002,TRANSFER,-464,1607.29,7/16/2025,PO-0048,Liam Johnson
